Treatment,O2Ar,N29_28,N30_28
Furnace On,5.373657435,0.00968044,0.001229
Furnace On,5.573911588,0.008058602,0.000872
Furnace On,4.638926677,0.012023644,0.001761
Furnace On,50.88317375,0.007664307,0.001131
Furnace On,5.335614978,0.010369449,0.001493
Furnace On,33.75288962,0.008080954,0.000999
Furnace On,60.93963254,0.007388575,0.00128
Furnace On,20.16218902,0.007993748,0.00095
Furnace On,5.081302819,0.008037599,0.000846
Furnace On,58.67024744,0.007387256,0.001265
Furnace On,17.73073121,0.007905401,0.000898
Furnace On,8.457850154,0.007937984,0.000871
Furnace On,34.01631779,0.00804412,0.001013
Furnace On,8.848811155,0.007932924,0.000813
Furnace On,4.477066645,0.012451793,0.001943
Furnace On,4.095217907,0.011529326,0.001515
Furnace On,16.63322687,0.008000998,0.000784
Furnace On,57.26806604,0.007404659,0.001073
Furnace On,53.2994583,0.00815008,0.001082
Furnace On,51.47369765,0.007365453,0.001086
Furnace On,6.313067165,0.008029607,0.000855
Furnace On,7.661494731,0.007902021,0.000782
Furnace On,40.82914407,0.007968756,0.000882
Furnace On,57.95869367,0.008004571,0.000964
Furnace On,51.4963284,0.008048753,0.001027
Furnace On,60.12402727,0.008021754,0.001014
Furnace On,5.763126526,0.010029558,0.001214
Furnace Off,2.667716528,0.009510856,0.000845
Furnace Off,3.983695962,0.008161348,0.000506
Furnace Off,2.079759744,0.011825142,0.001348
Furnace Off,48.26794568,0.007670349,0.000984
Furnace Off,2.769289357,0.010482098,0.001115
Furnace Off,35.06884009,0.007469981,0.000715
Furnace Off,56.17629905,0.007905299,0.00125
Furnace Off,20.05740496,0.007389415,0.000531
Furnace Off,3.621100104,0.008182683,0.000562
Furnace Off,55.37702339,0.007857256,0.001206
Furnace Off,18.30009017,0.007363276,0.000508
Furnace Off,8.306445405,0.007569027,0.000521
Furnace Off,35.35382496,0.007422182,0.000714
Furnace Off,8.177494035,0.00755533,0.000525
Furnace Off,2.192499529,0.012585339,0.001677
Furnace Off,2.149860751,0.01165359,0.001313
Furnace Off,19.21485112,0.007409771,0.000515
Furnace Off,56.19417853,0.007867221,0.001178
Furnace Off,49.46699872,0.007763073,0.001003
Furnace Off,49.01866596,0.00765577,0.00103
Furnace Off,4.210991646,0.00815357,0.000597
Furnace Off,7.724318851,0.007549878,0.000529
Furnace Off,38.46961614,0.007404555,0.000712
Furnace Off,50.90991979,0.007701112,0.000937
Furnace Off,45.94807826,0.007599191,0.000879
Furnace Off,50.9325342,0.007694455,0.00094
Furnace Off,3.016603275,0.0097837,0.00098