Gas,On,Off,O2Ar
N29_28,0.00968044,0.009510856,2.667716528
N29_28,0.008058602,0.008161348,3.983695962
N29_28,0.012023644,0.011825142,2.079759744
N29_28,0.007664307,0.007670349,48.26794568
N29_28,0.010369449,0.010482098,2.769289357
N29_28,0.008080954,0.007469981,35.06884009
N29_28,0.007388575,0.007905299,56.17629905
N29_28,0.007993748,0.007389415,20.05740496
N29_28,0.008037599,0.008182683,3.621100104
N29_28,0.007387256,0.007857256,55.37702339
N29_28,0.007905401,0.007363276,18.30009017
N29_28,0.007937984,0.007569027,8.306445405
N29_28,0.00804412,0.007422182,35.35382496
N29_28,0.007932924,0.00755533,8.177494035
N29_28,0.012451793,0.012585339,2.192499529
N29_28,0.011529326,0.01165359,2.149860751
N29_28,0.008000998,0.007409771,19.21485112
N29_28,0.007404659,0.007867221,56.19417853
N29_28,0.00815008,0.007763073,49.46699872
N29_28,0.007365453,0.00765577,49.01866596
N29_28,0.008029607,0.00815357,4.210991646
N29_28,0.007902021,0.007549878,7.724318851
N29_28,0.007968756,0.007404555,38.46961614
N29_28,0.008004571,0.007701112,50.90991979
N29_28,0.008048753,0.007599191,45.94807826
N29_28,0.008021754,0.007694455,50.9325342
N29_28,0.010029558,0.0097837,3.016603275
N30_28,0.001229,0.000845,2.667716528
N30_28,0.000872,0.000506,3.983695962
N30_28,0.001761,0.001348,2.079759744
N30_28,0.001131,0.000984,48.26794568
N30_28,0.001493,0.001115,2.769289357
N30_28,0.000999,0.000715,35.06884009
N30_28,0.00128,0.00125,56.17629905
N30_28,0.00095,0.000531,20.05740496
N30_28,0.000846,0.000562,3.621100104
N30_28,0.001265,0.001206,55.37702339
N30_28,0.000898,0.000508,18.30009017
N30_28,0.000871,0.000521,8.306445405
N30_28,0.001013,0.000714,35.35382496
N30_28,0.000813,0.000525,8.177494035
N30_28,0.001943,0.001677,2.192499529
N30_28,0.001515,0.001313,2.149860751
N30_28,0.000784,0.000515,19.21485112
N30_28,0.001073,0.001178,56.19417853
N30_28,0.001082,0.001003,49.46699872
N30_28,0.001086,0.00103,49.01866596
N30_28,0.000855,0.000597,4.210991646
N30_28,0.000782,0.000529,7.724318851
N30_28,0.000882,0.000712,38.46961614
N30_28,0.000964,0.000937,50.90991979
N30_28,0.001027,0.000879,45.94807826
N30_28,0.001014,0.00094,50.9325342
N30_28,0.001214,0.00098,3.016603275